,candidat,value,Nombre de bureaux de vote parvenus,Nombre d’inscrits ayant voté,Nombre total de votants,Suffrage exprimés valables,Nombre de bureaux de vote,Nombre total d'électeurs d'inscrits,Nombre de votants sur liste additive,Nombre bulletin nuls,commune_id,Unnamed: 0,ID,Name,dep_ID,dep_name,reg_ID,comm_ID,comm_name
0,Mahamane Ousmane,249, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
1,Hamidou Mamadou Abdou,30, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
2,Amadou Ousmane,13, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
3,Souleymane Garba,30, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
4,Seini Oumarou,396, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
5,Kane Kadaoure Habibou,47, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
6,Djibrilla Bare Mainassara,6, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
7,Idi Ango Ousmane,20, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
8,Hassane Baraze Moussa,39, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
9,Mamadou Talata Doulla,30, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
10,Ibrahim Gado,35, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
11,Amadou Issifou Saidou,106, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
12,Intinicar Alhassane,132, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
13,Moustapha Mamadou Moustapha,60, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
14,Omar Hamidou Tchana,43, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
15,Mohamed Bazoum,9787, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
16,Oumarou Malam Alma,57, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
17,Mahamane Hamissou Moumouni,22, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
18,Salou Djibo,306, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
19,Nayoussa Nassirou,53, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
20,Oumarou Abdourahamane,46, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
21,Albade Abouba,2767, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
22,Sagbo Adolphe,15, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
23,Idrissa Issoufou,24, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
24,Amadou Boubacar Cisse,29, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
25,Ismael Oumarou Ide,16, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
26,Mounkaila Issa,10, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
27,Abdallah Souleymane,13, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
28,Ibrahim Yacoubou,143, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
29,Abdoulkadri Oumarou Alpha,45, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
30,Mahamane Ousmane,6096, 77 ,19312,20147 , 19306, 77,34008 , 835 ,841 ,2,1,1,AGADEZ,2, ARLIT,1,2,ARLIT
31,Hamidou Mamadou Abdou,46, 77 ,19312,20147 , 19306, 77,34008 , 835 ,841 ,2,1,1,AGADEZ,2, ARLIT,1,2,ARLIT
32,Amadou Ousmane,47, 77 ,19312,20147 , 19306, 77,34008 , 835 ,841 ,2,1,1,AGADEZ,2, ARLIT,1,2,ARLIT
33,Souleymane Garba,100, 77 ,19312,20147 , 19306, 77,34008 , 835 ,841 ,2,1,1,AGADEZ,2, ARLIT,1,2,ARLIT
34,Seini Oumarou,2012, 77 ,19312,20147 , 19306, 77,34008 , 835 ,841 ,2,1,1,AGADEZ,2, ARLIT,1,2,ARLIT
35,Kane Kadaoure Habibou,34, 77 ,19312,20147 , 19306, 77,34008 , 835 ,841 ,2,1,1,AGADEZ,2, ARLIT,1,2,ARLIT
