,candidat,value,Nombre de bureaux de vote parvenus,Nombre d’inscrits ayant voté,Nombre total de votants,Suffrage exprimés valables,Nombre de bureaux de vote,Nombre total d'électeurs d'inscrits,Nombre de votants sur liste additive,Nombre bulletin nuls,commune_id,Unnamed: 0,ID,Name,dep_ID,dep_name,reg_ID,comm_ID,comm_name
0,Mohamed Bazoum,11547, 122 ,22206,22902 , 21195, 124,29751 , 696 ,1707 ,162,188,6,TILLABERI,43, ABALA,6,162,ABALA
1,Mohamed Bazoum,21342, 144 ,28536,28714 , 28284, 151,31348 , 178 ,430 ,118,144,5,TAHOUA,30, ABALAK,5,118,ABALAK
2,Mohamed Bazoum,9787, 104 ,15074,15630 , 14569, 104,22319 , 556 ,1061 ,1,0,1,AGADEZ,1, ADERBISSINAT,1,1,ADERBISSINAT
3,Mohamed Bazoum,8960, 109 ,25060,25658 , 22430, 109,32270 , 598 ,3228 ,75,96,4,MARADI,23, DAKORO,4,75,ADJEKORIA
4,Mohamed Bazoum,9450, 138 ,31833,35375 , 32578, 139,57362 , 3542 ,2797 ,12,11,1,AGADEZ,6, TCHIROZERINE,1,12,AGADEZ
5,Mohamed Bazoum,9190, 199 ,41612,42628 , 36887, 199,60684 , 1016 ,5741 ,71,92,4,MARADI,21, AGUIE,4,71,AGUIE
6,Mohamed Bazoum,10385, 96 ,15155,15299 , 15172, 97,15658 , 144 ,127 ,119,145,5,TAHOUA,30, ABALAK,5,119,AKOUBOUNOU
7,Mohamed Bazoum,2767, 31 ,5319,5473 , 4806, 31,8030 , 154 ,667 ,218,244,7,ZINDER,59, GOURE,7,218,ALAKOSS
8,Mohamed Bazoum,4085, 36 ,6144,6478 , 6016, 36,8286 , 334 ,462 ,208,234,7,ZINDER,57, DAMAGARAM TAKAYA,7,208,ALBARKARAM
9,Salou Djibo,1359, 24 ,4238,4303 , 4078, 24,5924 , 65 ,225 ,198,224,6,TILLABERI,54, TILLABERI,6,198,ANZOUROU
10,Mahamane Ousmane,6096, 77 ,19312,20147 , 19306, 77,34008 , 835 ,841 ,2,1,1,AGADEZ,2, ARLIT,1,2,ARLIT
11,Mohamed Bazoum,1950, 37 ,4706,4734 , 4172, 37,6993 , 28 ,562 ,76,97,4,MARADI,23, DAKORO,4,76,AZAGOR
12,Mohamed Bazoum,4909, 36 ,7682,8008 , 7230, 36,9579 , 326 ,778 ,142,168,5,TAHOUA,36, MADAOUA,5,142,AZARORI
13,Mohamed Bazoum,17120, 127 ,24892,25004 , 24573, 132,27002 , 112 ,431 ,120,146,5,TAHOUA,30, ABALAK,5,120,AZEYE
14,Mohamed Bazoum,25028, 131 ,34369,34897 , 33114, 131,48544 , 528 ,1783 ,135,161,5,TAHOUA,34, ILLELA,5,135,BADAGUICHIRI
15,Mohamed Bazoum,6316, 125 ,19643,19997 , 17308, 125,26910 , 354 ,2689 ,77,98,4,MARADI,23, DAKORO,4,77,BADER GOULA
